Material,Material Description,Location,Limitations
101-910021-59,"DOOR ASSY,ACCESS-COWLING ASSY,AFT UPR",Madison,
101-910024-181,"COWLING ASSY-FWD,LWR",Madison,
101-910025-1,"COWLING ASSY-FWD,UPR",Madison,
101-TRACE,CAD Services,Madison,
104-810013-10,"LANDNG GEAR ASSY,RH",Madison,
104-810013-9,LANDNG GEAR LH(S/N,Madison,
104-810014-5,ACTUATOR ASSY W/O MTR,Madison,
104-810014-7,ACTUATOR ASSY,Madison,
104-820011-15,NOSE LANDING GEAR ASSY,Madison,
10-501-001-01,"PANEL ASSY, SWITCH PILOT",Madison,
10-501-001-03,"PANEL ASSY, SWITCH COPILOT",Madison,
10-501-001-05,"PANEL ASSY, SWITCH INSTRUCTOR 1",Madison,
10-501-001-07,"PANEL ASSY, SWITCH INSTRUCTOR 2",Madison,
10-501-001-09,"PANEL ASSY, SWITCH OBSERVER",Madison,
10-501-001-11,"PANEL ASSY, SWITCH STUDENT 2",Madison,
10-520-002-01,PANEL ASSY,Madison,
1057-511,SEAT-FLIGHT ENGINEER,Madison,
109-364081-1,PWB ASSY-CROSS START RELAY CTRL-ELEC,Madison,
109-384001-1,"INDICATOR,DC LOAD,WHITE LIGHTING",Madison,
112-364021-1,PC BOARD ASSY - LOGIC RELAY,Madison,
112-364021-5,PC BOARD ASSY - LOGIC RELAY,Madison,
114-364086-1,MODULE ASSY-ANNUNCIATOR LEGEND PWR SUP,Madison,
114-380018-1,INDICATOR-CABIN CLIMB RATE,Madison,
114-380020-1,"INDICATOR, CABIN AIR TEMPERATURE",Madison,
114-380028-11,"BLOWER ASSY-VENTILATION,CABIN",Madison,
114-380031-1,INDICATOR-D.C. LOAD,Madison,
114-380032-1,INDICATOR-D.C. VOLTS,Madison,
114-380033-1,INDICATOR-AC VOLT FREQUENCY,Madison,
114-380041-15,"ACTUATOR ASSY, HYDRAULIC - MLG",Madison,
114-380049-11,"INDICATOR-PROP AMP,DUAL",Madison,
114-388024-1,BRAKE ASSY-MLG,Madison,
114-388025-1,WHEEL ASSY-MLG,Madison,
114-389031-17,"ISOLATOR ASSY,VIBRATION-ENGINE",Madison,
114-8001-21,"WHEEL ASSY,TUBELESS-NOSE GEAR",Madison,
114-8007-3,BRAKE ASSY-MAIN GEAR,Madison,
114-8008-17,STATIONARY DISK ASSY-BRAKE ASY-MAIN GEAR,Madison,
114-810000-655,LANDING GEAR ASSY-MAIN,Madison,
114-810000-656,LANDING GEAR ASSY-MAIN,Madison,
114-810023-1,DRAG LEG ASSY-MAIN LANDING GEAR,Madison,
114-810026-1,ARM-UPR DRAG LEG,Madison,
114-810027-1,"DRAG LEG-LWR,MAIN LDG GEAR",Madison,
114-810031-1,"BRACE ASSY-MAIN GEAR,DUAL WHEEL",Madison,
